station,year,ann_half_date
08HA001,1958,126
08HA001,1959,116
08HA001,1960,111
08HA001,1961,73
08HA001,1962,288
08HA001,1963,135
08HA001,1964,98
08HA001,1965,168
08HA001,1966,128
08HA001,1967,112
08HA001,1968,63
08HA001,1969,132
08HA001,1970,103
08HA001,1971,102
08HA001,1972,
08HA001,1973,55
08HA001,1974,2
08HA001,1975,297
08HA001,1976,104
08HA001,1977,304
08HA001,1978,87
08HA001,1979,315
08HA001,1980,311
08HA001,1981,298
08HA001,1982,135
08HA001,1983,91
08HA001,1984,121
08HA001,1985,121
08HA001,1986,75
08HA001,1987,66
08HA001,1988,115
08HA001,1989,96
08HA001,1990,240
08HA001,1991,94
08HA001,1992,37
08HA001,1993,111
08HA001,1994,97
08HA001,1995,126
08HA001,1996,87
08HA001,1997,120
08HA001,1998,129
08HA001,1999,122
08HA001,2000,116
08HA001,2001,239
08HA001,2002,100
08HA001,2003,89
08HA001,2004,108
08HA001,2005,105
08HA001,2006,132
08HA001,2007,87
08HA001,2008,133
08HA001,2009,309
08HA001,2010,110
08HA001,2011,103
08HA001,2012,115
08HA003,1958,
08HA003,1959,
08HA003,1960,100
08HA003,1961,62
08HA003,1962,313
08HA003,1963,297
08HA003,1964,61
08HA003,1965,108
08HA003,1966,137
08HA003,1967,102
08HA003,1968,75
08HA003,1969,107
08HA003,1970,98
08HA003,1971,85
08HA003,1972,74
08HA003,1973,314
08HA003,1974,75
08HA003,1975,293
08HA003,1976,72
08HA003,1977,300
08HA003,1978,81
08HA003,1979,169
08HA003,1980,181
08HA003,1981,221
08HA003,1982,86
08HA003,1983,76
08HA003,1984,128
08HA003,1985,113
08HA003,1986,71
08HA003,1987,63
08HA003,1988,97
08HA003,1989,83
08HA003,1990,304
08HA003,1991,64
08HA003,1992,37
08HA003,1993,98
08HA003,1994,103
08HA003,1995,295
08HA003,1996,107
08HA003,1997,179
08HA003,1998,103
08HA003,1999,65
08HA003,2000,81
08HA003,2001,318
08HA003,2002,71
08HA003,2003,97
08HA003,2004,97
08HA003,2005,95
08HA003,2006,308
08HA003,2007,77
08HA003,2008,72
08HA003,2009,310
08HA003,2010,102
08HA003,2011,78
08HA003,2012,54
08JB002,1958,157
08JB002,1959,190
08JB002,1960,170
08JB002,1961,165
08JB002,1962,194
08JB002,1963,168
08JB002,1964,197
08JB002,1965,169
08JB002,1966,170
08JB002,1967,166
08JB002,1968,172
08JB002,1969,173
08JB002,1970,171
08JB002,1971,190
08JB002,1972,177
08JB002,1973,175
08JB002,1974,174
08JB002,1975,196
08JB002,1976,177
08JB002,1977,155
08JB002,1978,179
08JB002,1979,167
08JB002,1980,196
08JB002,1981,170
08JB002,1982,183
08JB002,1983,198
08JB002,1984,184
08JB002,1985,174
08JB002,1986,191
08JB002,1987,175
08JB002,1988,188
08JB002,1989,171
08JB002,1990,173
08JB002,1991,173
08JB002,1992,161
08JB002,1993,188
08JB002,1994,159
08JB002,1995,164
08JB002,1996,171
08JB002,1997,159
08JB002,1998,164
08JB002,1999,184
08JB002,2000,
08JB002,2001,188
08JB002,2002,174
08JB002,2003,183
08JB002,2004,196
08JB002,2005,153
08JB002,2006,173
08JB002,2007,172
08JB002,2008,166
08JB002,2009,171
08JB002,2010,179
08JB002,2011,175
08JB002,2012,166
08JE001,1958,180
08JE001,1959,203
08JE001,1960,190
08JE001,1961,186
08JE001,1962,207
08JE001,1963,187
08JE001,1964,210
08JE001,1965,190
08JE001,1966,196
08JE001,1967,191
08JE001,1968,204
08JE001,1969,199
08JE001,1970,186
08JE001,1971,205
08JE001,1972,196
08JE001,1973,191
08JE001,1974,197
08JE001,1975,201
08JE001,1976,199
08JE001,1977,190
08JE001,1978,195
08JE001,1979,191
08JE001,1980,203
08JE001,1981,184
08JE001,1982,202
08JE001,1983,205
08JE001,1984,202
08JE001,1985,197
08JE001,1986,204
08JE001,1987,188
08JE001,1988,191
08JE001,1989,184
08JE001,1990,189
08JE001,1991,192
08JE001,1992,179
08JE001,1993,195
08JE001,1994,185
08JE001,1995,184
08JE001,1996,197
08JE001,1997,184
08JE001,1998,175
08JE001,1999,192
08JE001,2000,204
08JE001,2001,203
08JE001,2002,191
08JE001,2003,197
08JE001,2004,194
08JE001,2005,186
08JE001,2006,183
08JE001,2007,204
08JE001,2008,186
08JE001,2009,186
08JE001,2010,184
08JE001,2011,199
08JE001,2012,191
08LA001,1958,166
08LA001,1959,193
08LA001,1960,189
08LA001,1961,168
08LA001,1962,185
08LA001,1963,181
08LA001,1964,189
08LA001,1965,177
08LA001,1966,182
08LA001,1967,179
08LA001,1968,184
08LA001,1969,175
08LA001,1970,172
08LA001,1971,171
08LA001,1972,172
08LA001,1973,178
08LA001,1974,179
08LA001,1975,185
08LA001,1976,190
08LA001,1977,180
08LA001,1978,184
08LA001,1979,177
08LA001,1980,181
08LA001,1981,175
08LA001,1982,186
08LA001,1983,181
08LA001,1984,187
08LA001,1985,167
08LA001,1986,173
08LA001,1987,167
08LA001,1988,174
08LA001,1989,172
08LA001,1990,171
08LA001,1991,180
08LA001,1992,167
08LA001,1993,163
08LA001,1994,165
08LA001,1995,180
08LA001,1996,182
08LA001,1997,180
08LA001,1998,163
08LA001,1999,183
08LA001,2000,181
08LA001,2001,186
08LA001,2002,175
08LA001,2003,173
08LA001,2004,184
08LA001,2005,166
08LA001,2006,162
08LA001,2007,172
08LA001,2008,178
08LA001,2009,171
08LA001,2010,177
08LA001,2011,180
08LD001,1958,172
08LD001,1959,202
08LD001,1960,192
08LD001,1961,174
08LD001,1962,192
08LD001,1963,190
08LD001,1964,196
08LD001,1965,185
08LD001,1966,187
08LD001,1967,184
08LD001,1968,194
08LD001,1969,183
08LD001,1970,180
08LD001,1971,177
08LD001,1972,178
08LD001,1973,187
08LD001,1974,185
08LD001,1975,191
08LD001,1976,199
08LD001,1977,193
08LD001,1978,193
08LD001,1979,184
08LD001,1980,197
08LD001,1981,186
08LD001,1982,196
08LD001,1983,188
08LD001,1984,191
08LD001,1985,177
08LD001,1986,188
08LD001,1987,175
08LD001,1988,185
08LD001,1989,191
08LD001,1990,180
08LD001,1991,186
08LD001,1992,178
08LD001,1993,179
08LD001,1994,176
08LD001,1995,196
08LD001,1996,95
08LD001,1997,
08LD001,1998,168
08LD001,1999,193
08LD001,2000,186
08LD001,2001,198
08LD001,2002,180
08LD001,2003,180
08LD001,2004,191
08LD001,2005,180
08LD001,2006,169
08LD001,2007,181
08LD001,2008,184
08LD001,2009,180
08LD001,2010,189
08LD001,2011,188
08MF005,1958,168
08MF005,1959,190
08MF005,1960,187
08MF005,1961,172
08MF005,1962,188
08MF005,1963,179
08MF005,1964,190
08MF005,1965,177
08MF005,1966,182
08MF005,1967,178
08MF005,1968,182
08MF005,1969,178
08MF005,1970,173
08MF005,1971,177
08MF005,1972,175
08MF005,1973,180
08MF005,1974,180
08MF005,1975,188
08MF005,1976,190
08MF005,1977,177
08MF005,1978,183
08MF005,1979,174
08MF005,1980,186
08MF005,1981,173
08MF005,1982,186
08MF005,1983,181
08MF005,1984,189
08MF005,1985,171
08MF005,1986,175
08MF005,1987,169
08MF005,1988,176
08MF005,1989,177
08MF005,1990,174
08MF005,1991,178
08MF005,1992,170
08MF005,1993,169
08MF005,1994,167
08MF005,1995,181
08MF005,1996,183
08MF005,1997,177
08MF005,1998,167
08MF005,1999,185
08MF005,2000,187
08MF005,2001,189
08MF005,2002,178
08MF005,2003,178
08MF005,2004,188
08MF005,2005,169
08MF005,2006,167
08MF005,2007,178
08MF005,2008,177
08MF005,2009,173
08MF005,2010,180
08MF005,2011,183
08MF005,2012,178
08MG005,1958,193
08MG005,1959,
08MG005,1960,199
08MG005,1961,192
08MG005,1962,207
08MG005,1963,200
08MG005,1964,193
08MG005,1965,204
08MG005,1966,200
08MG005,1967,199
08MG005,1968,192
08MG005,1969,175
08MG005,1970,188
08MG005,1971,202
08MG005,1972,192
08MG005,1973,
08MG005,1974,
08MG005,1975,197
08MG005,1976,207
08MG005,1977,201
08MG005,1978,197
08MG005,1979,207
08MG005,1980,204
08MG005,1981,204
08MG005,1982,194
08MG005,1983,191
08MG005,1984,206
08MG005,1985,192
08MG005,1986,190
08MG005,1987,188
08MG005,1988,202
08MG005,1989,197
08MG005,1990,206
08MG005,1991,200
08MG005,1992,183
08MG005,1993,189
08MG005,1994,194
08MG005,1995,190
08MG005,1996,
08MG005,1997,191
08MG005,1998,188
08MG005,1999,202
08MG005,2000,198
08MG005,2001,205
08MG005,2002,191
08MG005,2003,200
08MG005,2004,200
08MG005,2005,187
08MG005,2006,185
08MG005,2007,197
08MG005,2008,193
08MG005,2009,204
08MG005,2010,200
08MG005,2011,
08MG005,2012,197
08NB005,1958,178
08NB005,1959,192
08NB005,1960,
08NB005,1961,177
08NB005,1962,192
08NB005,1963,188
08NB005,1964,194
08NB005,1965,193
08NB005,1966,188
08NB005,1967,189
08NB005,1968,192
08NB005,1969,179
08NB005,1970,187
08NB005,1971,186
08NB005,1972,183
08NB005,1973,189
08NB005,1974,188
08NB005,1975,197
08NB005,1976,199
08NB005,1977,188
08NB005,1978,192
08NB005,1979,189
08NB005,1980,175
08NB005,1981,195
08NB005,1982,191
08NB005,1983,190
08NB005,1984,197
08NB005,1985,183
08NB005,1986,181
08NB005,1987,177
08NB005,1988,185
08NB005,1989,190
08NB005,1990,189
08NB005,1991,190
08NB005,1992,181
08NB005,1993,187
08NB005,1994,183
08NB005,1995,188
08NB005,1996,189
08NB005,1997,189
08NB005,1998,183
08NB005,1999,198
08NB005,2000,194
08NB005,2001,188
08NB005,2002,187
08NB005,2003,188
08NB005,2004,191
08NB005,2005,184
08NB005,2006,178
08NB005,2007,181
08NB005,2008,188
08NB005,2009,191
08NB005,2010,191
08NB005,2011,191
08NB005,2012,188
08NF001,1958,166
08NF001,1959,
08NF001,1960,3
08NF001,1961,160
08NF001,1962,177
08NF001,1963,169
08NF001,1964,178
08NF001,1965,175
08NF001,1966,167
08NF001,1967,170
08NF001,1968,177
08NF001,1969,169
08NF001,1970,174
08NF001,1971,169
08NF001,1972,171
08NF001,1973,173
08NF001,1974,173
08NF001,1975,188
08NF001,1976,187
08NF001,1977,173
08NF001,1978,176
08NF001,1979,173
08NF001,1980,161
08NF001,1981,185
08NF001,1982,178
08NF001,1983,173
08NF001,1984,181
08NF001,1985,165
08NF001,1986,173
08NF001,1987,160
08NF001,1988,175
08NF001,1989,176
08NF001,1990,170
08NF001,1991,172
08NF001,1992,167
08NF001,1993,180
08NF001,1994,165
08NF001,1995,180
08NF001,1996,175
08NF001,1997,167
08NF001,1998,161
08NF001,1999,183
08NF001,2000,181
08NF001,2001,172
08NF001,2002,175
08NF001,2003,169
08NF001,2004,182
08NF001,2005,169
08NF001,2006,160
08NF001,2007,162
08NF001,2008,176
08NF001,2009,172
08NF001,2010,178
08NF001,2011,173
08NF001,2012,178
09AE003,1958,164
09AE003,1959,195
09AE003,1960,38
09AE003,1961,176
09AE003,1962,39
09AE003,1963,180
09AE003,1964,172
09AE003,1965,185
09AE003,1966,189
09AE003,1967,175
09AE003,1968,195
09AE003,1969,207
09AE003,1970,201
09AE003,1971,175
09AE003,1972,177
09AE003,1973,185
09AE003,1974,196
09AE003,1975,187
09AE003,1976,184
09AE003,1977,178
09AE003,1978,189
09AE003,1979,184
09AE003,1980,203
09AE003,1981,178
09AE003,1982,176
09AE003,1983,188
09AE003,1984,182
09AE003,1985,184
09AE003,1986,192
09AE003,1987,180
09AE003,1988,188
09AE003,1989,172
09AE003,1990,166
09AE003,1991,196
09AE003,1992,176
09AE003,1993,171
09AE003,1994,182
09AE003,1995,
09AE003,1996,182
09AE003,1997,113
09AE003,1998,160
09AE003,1999,173
09AE003,2000,194
09AE003,2001,186
09AE003,2002,205
09AE003,2003,188
09AE003,2004,171
09AE003,2005,167
09AE003,2006,173
09AE003,2007,187
09AE003,2008,183
09AE003,2009,175
09AE003,2010,177
09AE003,2011,184
09AE003,2012,178
08JB002,1929,
08JB002,1930,180
08JB002,1931,
08JB002,1932,
08JB002,1933,
08JB002,1934,
08JB002,1935,
08JB002,1936,
08JB002,1937,
08JB002,1938,
08JB002,1939,
08JB002,1940,
08JB002,1941,
08JB002,1942,
08JB002,1943,
08JB002,1944,
08JB002,1945,
08JB002,1946,
08JB002,1947,
08JB002,1948,
08JB002,1949,
08JB002,1950,
08JB002,1951,174
08JB002,1952,176
08JB002,1953,182
08JB002,1954,205
08JB002,1955,170
08JB002,1956,186
08JB002,1957,205
08JE001,1929,
08JE001,1930,19
08JE001,1931,195
08JE001,1932,
08JE001,1933,
08JE001,1934,
08JE001,1935,196
08JE001,1936,203
08JE001,1937,195
08JE001,1938,190
08JE001,1939,197
08JE001,1940,188
08JE001,1941,193
08JE001,1942,181
08JE001,1943,
08JE001,1944,
08JE001,1945,
08JE001,1946,192
08JE001,1947,
08JE001,1948,191
08JE001,1949,10
08JE001,1950,
08JE001,1951,193
08JE001,1952,199
08JE001,1953,207
08JE001,1954,213
08JE001,1955,183
08JE001,1956,202
08JE001,1957,212
08LA001,1914,173
08LA001,1915,186
08LA001,1916,183
08LA001,1917,183
08LA001,1918,179
08LA001,1919,134
08LA001,1920,
08LA001,1921,0
08LA001,1922,182
08LA001,1923,
08LA001,1924,181
08LA001,1925,168
08LA001,1926,172
08LA001,1927,187
08LA001,1928,41
08LA001,1929,
08LA001,1930,
08LA001,1931,
08LA001,1932,
08LA001,1933,
08LA001,1934,
08LA001,1935,
08LA001,1936,
08LA001,1937,
08LA001,1938,
08LA001,1939,
08LA001,1940,
08LA001,1941,
08LA001,1942,
08LA001,1943,
08LA001,1944,
08LA001,1945,
08LA001,1946,
08LA001,1947,
08LA001,1948,
08LA001,1949,
08LA001,1950,
08LA001,1951,168
08LA001,1952,174
08LA001,1953,179
08LA001,1954,186
08LA001,1955,184
08LA001,1956,174
08LA001,1957,166
08LD001,1911,
08LD001,1912,194
08LD001,1913,181
08LD001,1914,152
08LD001,1915,183
08LD001,1916,179
08LD001,1917,183
08LD001,1918,177
08LD001,1919,182
08LD001,1920,194
08LD001,1921,175
08LD001,1922,172
08LD001,1923,187
08LD001,1924,183
08LD001,1925,177
08LD001,1926,177
08LD001,1927,192
08LD001,1928,172
08LD001,1929,177
08LD001,1930,174
08LD001,1931,164
08LD001,1932,49
08LD001,1933,188
08LD001,1934,14
08LD001,1935,185
08LD001,1936,
08LD001,1937,181
08LD001,1938,
08LD001,1939,35
08LD001,1940,
08LD001,1941,
08LD001,1942,
08LD001,1943,
08LD001,1944,
08LD001,1945,152
08LD001,1946,
08LD001,1947,
08LD001,1948,37
08LD001,1949,174
08LD001,1950,186
08LD001,1951,172
08LD001,1952,15
08LD001,1953,186
08LD001,1954,194
08LD001,1955,194
08LD001,1956,181
08LD001,1957,177
08MF005,1912,186
08MF005,1913,194
08MF005,1914,180
08MF005,1915,180
08MF005,1916,186
08MF005,1917,188
08MF005,1918,178
08MF005,1919,190
08MF005,1920,197
08MF005,1921,182
08MF005,1922,183
08MF005,1923,178
08MF005,1924,184
08MF005,1925,171
08MF005,1926,172
08MF005,1927,191
08MF005,1928,172
08MF005,1929,184
08MF005,1930,181
08MF005,1931,183
08MF005,1932,180
08MF005,1933,191
08MF005,1934,172
08MF005,1935,179
08MF005,1936,177
08MF005,1937,184
08MF005,1938,178
08MF005,1939,184
08MF005,1940,178
08MF005,1941,194
08MF005,1942,182
08MF005,1943,184
08MF005,1944,190
08MF005,1945,175
08MF005,1946,172
08MF005,1947,178
08MF005,1948,177
08MF005,1949,173
08MF005,1950,182
08MF005,1951,172
08MF005,1952,177
08MF005,1953,185
08MF005,1954,193
08MF005,1955,185
08MF005,1956,174
08MF005,1957,168
08MG005,1914,201
08MG005,1915,199
08MG005,1916,198
08MG005,1917,217
08MG005,1918,192
08MG005,1919,
08MG005,1920,
08MG005,1921,
08MG005,1922,
08MG005,1923,
08MG005,1924,195
08MG005,1925,3
08MG005,1926,194
08MG005,1927,201
08MG005,1928,
08MG005,1929,208
08MG005,1930,198
08MG005,1931,199
08MG005,1932,195
08MG005,1933,208
08MG005,1934,195
08MG005,1935,192
08MG005,1936,198
08MG005,1937,201
08MG005,1938,199
08MG005,1939,213
08MG005,1940,199
08MG005,1941,199
08MG005,1942,207
08MG005,1943,203
08MG005,1944,207
08MG005,1945,193
08MG005,1946,193
08MG005,1947,181
08MG005,1948,192
08MG005,1949,195
08MG005,1950,197
08MG005,1951,185
08MG005,1952,196
08MG005,1953,196
08MG005,1954,205
08MG005,1955,201
08MG005,1956,209
08MG005,1957,193
